2020-11-08 00:11:34 || b'044392'.td || OnRspSubMarketData || {'InstrumentID': b'wr2109'} 
2020-11-08 00:11:34 || b'044392'.td || OnRspSubMarketData || {'InstrumentID': b'zn2109'} 
2020-11-08 00:11:34 || b'044392'.td || OnRspSubMarketData || {'InstrumentID': b'eg2109'} 
2020-11-08 00:11:34 || b'044392'.td || OnRspSubMarketData || {'InstrumentID': b'jd2109'} 
2020-11-08 00:11:34 || b'044392'.td || OnRspSubMarketData || {'InstrumentID': b'pg2109'} 
2020-11-08 00:11:34 || b'044392'.td || OnRspSubMarketData || {'InstrumentID': b'cs2109'} 
2020-11-08 00:11:34 || b'044392'.td || OnRspSubMarketData || {'InstrumentID': b'fb2109'} 
2020-11-08 00:11:34 || b'044392'.td || OnRspSubMarketData || {'InstrumentID': b'i2109'} 
2020-11-08 00:11:34 || b'044392'.td || OnRspSubMarketData || {'InstrumentID': b'j2109'} 
2020-11-08 00:11:34 || b'044392'.td || OnRspSubMarketData || {'InstrumentID': b'jm2109'} 
2020-11-08 00:11:34 || b'044392'.td || OnRspSubMarketData || {'InstrumentID': b'l2109'} 
2020-11-08 00:11:34 || b'044392'.td || OnRspSubMarketData || {'InstrumentID': b'm2109'} 
2020-11-08 00:11:34 || b'044392'.td || OnRspSubMarketData || {'InstrumentID': b'p2109'} 
2020-11-08 00:11:34 || b'044392'.td || OnRspSubMarketData || {'InstrumentID': b'pp2109'} 
2020-11-08 00:11:34 || b'044392'.td || OnRspSubMarketData || {'InstrumentID': b'rr2109'} 
2020-11-08 00:11:34 || b'044392'.td || OnRspSubMarketData || {'InstrumentID': b'rb2011'} 
2020-11-08 00:11:34 || b'044392'.td || OnRspSubMarketData || {'InstrumentID': b'ru2011'} 
2020-11-08 00:11:34 || b'044392'.td || OnRspSubMarketData || {'InstrumentID': b'sn2011'} 
2020-11-08 00:11:34 || b'044392'.td || OnRspSubMarketData || {'InstrumentID': b'sp2011'} 
2020-11-08 00:11:34 || b'044392'.td || OnRspSubMarketData || {'InstrumentID': b'wr2011'} 
2020-11-08 00:11:34 || b'044392'.td || OnRspSubMarketData || {'InstrumentID': b'zn2011'} 
2020-11-08 00:11:34 || b'044392'.td || OnRspSubMarketData || {'InstrumentID': b'IC2011'} 
2020-11-08 00:11:34 || b'044392'.td || OnRspSubMarketData || {'InstrumentID': b'IF2011'} 
2020-11-08 00:11:34 || b'044392'.td || OnRspSubMarketData || {'InstrumentID': b'IH2011'} 
2020-11-08 00:11:34 || b'044392'.td || OnRspSubMarketData || {'InstrumentID': b'b2102'} 
2020-11-08 00:11:34 || b'044392'.td || OnRspSubMarketData || {'InstrumentID': b'bb2102'} 
2020-11-08 00:11:34 || b'044392'.td || OnRspSubMarketData || {'InstrumentID': b'fb2102'} 
2020-11-08 00:11:34 || b'044392'.td || OnRspSubMarketData || {'InstrumentID': b'i2102'} 
2020-11-08 00:11:34 || b'044392'.td || OnRspSubMarketData || {'InstrumentID': b'j2102'} 
2020-11-08 00:11:34 || b'044392'.td || OnRspSubMarketData || {'InstrumentID': b'jm2102'} 
2020-11-08 00:11:34 || b'044392'.td || OnRspSubMarketData || {'InstrumentID': b'l2102'} 
2020-11-08 00:11:34 || b'044392'.td || OnRspSubMarketData || {'InstrumentID': b'p2102'} 
2020-11-08 00:11:34 || b'044392'.td || OnRspSubMarketData || {'InstrumentID': b'pp2102'} 
2020-11-08 00:11:34 || b'044392'.td || OnRspSubMarketData || {'InstrumentID': b'v2102'} 
2020-11-08 00:11:34 || b'044392'.td || OnRspSubMarketData || {'InstrumentID': b'T2012'} 
2020-11-08 00:11:34 || b'044392'.td || OnRspSubMarketData || {'InstrumentID': b'TF2012'} 
2020-11-08 00:11:34 || b'044392'.td || OnRspSubMarketData || {'InstrumentID': b'TS2012'} 
2020-11-08 00:11:34 || b'044392'.td || OnRspSubMarketData || {'InstrumentID': b'ag2012'} 
